Name: Strathmore Boulevard, Instruction: Head west on Strathmore Boulevard, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 277.2 meters, Time: 199.6 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn left, Distance: 187.7 meters, Time: 135.1 seconds
Name: -, Instruction: Turn right, Distance: 164.5 meters, Time: 118.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Woodmount Avenue, Instruction: Turn right onto Woodmount Avenue, Distance: 454.2 meters, Time: 327.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn slight left, Distance: 132.5 meters, Time: 95.4 seconds
Name: Glebemount Avenue, Instruction: Turn right onto Glebemount Avenue, Distance: 218.5 meters, Time: 157.3 seconds
Name: -, Instruction: Turn left, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight left, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Keep right, Distance: 228.6 meters, Time: 164.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
