Name: Ednam Road, Instruction: Head north on Ednam Road, Distance: 197.2 meters, Time: 142.0 seconds
Name: Rouwkoop Road, Instruction: Turn left onto Rouwkoop Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: Liesbeek River Trail, Instruction: Turn right onto Liesbeek River Trail, Distance: 113.2 meters, Time: 81.5 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 26.9 seconds
Name: Roslyn Road, Instruction: Turn right onto Roslyn Road, Distance: 84.4 meters, Time: 60.8 seconds
Name: Roslyn Road, Instruction: Turn slight left onto Roslyn Road, Distance: 183.4 meters, Time: 132.0 seconds
Name: Rosendale Road, Instruction: Turn left onto Rosendale Road, Distance: 10.7 meters, Time: 7.7 seconds
Name: Rosendale Road, Instruction: Keep right onto Rosendale Road, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight right, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
