Name: Isobel Road, Instruction: Head northwest on Isobel Road, Distance: 125.0 meters, Time: 90.0 seconds
Name: Olwyn Place, Instruction: Turn right onto Olwyn Place, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn left, Distance: 246.1 meters, Time: 177.2 seconds
Name: Wainoni Heights, Instruction: Turn left onto Wainoni Heights, Distance: 266.8 meters, Time: 192.1 seconds
Name: -, Instruction: Turn right, Distance: 220.9 meters, Time: 159.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Orwell Road, Instruction: Turn left onto Orwell Road, Distance: 375.5 meters, Time: 270.3 seconds
Name: Kyle Road, Instruction: Continue straight onto Kyle Road, Distance: 436.5 meters, Time: 314.3 seconds
Name: Kyle Road, Instruction: Enter the roundabout and take the 2nd exit onto Kyle Road, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 208.6 meters, Time: 150.2 seconds
Name: Pitoitoi Gully Link, Instruction: Turn left onto Pitoitoi Gully Link, Distance: 200.0 meters, Time: 144.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Miromiro Street, Instruction: Turn left onto Miromiro Street, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at Miromiro Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
