Name: Aspen Drive, Instruction: Head west on Aspen Drive, Distance: 147.3 meters, Time: 106.0 seconds
Name: Willow Way, Instruction: Turn left onto Willow Way, Distance: 71.9 meters, Time: 51.8 seconds
Name: Elms Lane, Instruction: Turn left onto Elms Lane, Distance: 251.8 meters, Time: 181.3 seconds
Name: Elms Lane, Instruction: Continue straight onto Elms Lane, Distance: 228.0 meters, Time: 164.1 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: Harrow Road, A4005, Instruction: Turn right onto Harrow Road, A4005, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Keep left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Keep left, Distance: 10.2 meters, Time: 7.3 seconds
Name: Maybank Avenue, Instruction: Turn slight left onto Maybank Avenue, Distance: 261.5 meters, Time: 188.3 seconds
Name: -, Instruction: Turn left, Distance: 242.7 meters, Time: 174.7 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: Sudbury Heights Avenue, Instruction: Turn left onto Sudbury Heights Avenue, Distance: 202.7 meters, Time: 145.9 seconds
Name: -, Instruction: Turn right, Distance: 268.7 meters, Time: 193.5 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: Whitton Drive, Instruction: Turn left onto Whitton Drive, Distance: 213.9 meters, Time: 154.0 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Keep right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Keep right, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 221.6 meters, Time: 159.6 seconds
Name: -, Instruction: Turn right, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Keep right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Keep right, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn left, Distance: 97.6 meters, Time: 70.2 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
