Name: Astor Place, Instruction: Head south on Astor Place, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Waldorf Crescent, Instruction: Turn left onto Waldorf Crescent, Distance: 81.1 meters, Time: 58.4 seconds
Name: Ambassador Glade, Instruction: Turn right onto Ambassador Glade, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn slight right, Distance: 447.5 meters, Time: 322.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Ambassador Glade, Instruction: Turn left onto Ambassador Glade, Distance: 16.4 meters, Time: 11.8 seconds
Name: West Hoe Heights, Instruction: Turn right onto West Hoe Heights, Distance: 36.2 meters, Time: 26.1 seconds
Name: Millennial Way, Instruction: Turn left onto Millennial Way, Distance: 54.3 meters, Time: 39.1 seconds
Name: Millennial Way, Instruction: Turn right onto Millennial Way, Distance: 164.7 meters, Time: 118.6 seconds
Name: Millennial Way, Instruction: Turn left onto Millennial Way, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at Millennial Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
