Name: Hill Street, Instruction: Head north on Hill Street, Distance: 240.5 meters, Time: 173.2 seconds
Name: Fleming Street, Instruction: Turn right onto Fleming Street, Distance: 199.8 meters, Time: 143.9 seconds
Name: Selwyn Street, Instruction: Turn left onto Selwyn Street, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 67.9 meters, Time: 48.9 seconds
Name: Lower Municipal Place, Instruction: Turn left onto Lower Municipal Place, Distance: 59.1 meters, Time: 42.5 seconds
Name: Church Street, Instruction: Turn right onto Church Street, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 9.2 meters, Time: 6.6 seconds
Name: Church Street, Instruction: Enter the roundabout and take the 3rd exit onto Church Street, Distance: 54.3 meters, Time: 39.1 seconds
Name: Waller Street, Instruction: Turn left onto Waller Street, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.3 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 105.5 meters, Time: 76.0 seconds
Name: Galway Street, Instruction: Turn left onto Galway Street, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 94.5 meters, Time: 68.1 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 308.0 meters, Time: 221.8 seconds
Name: Church Street, Instruction: Enter the roundabout and take the 2nd exit onto Church Street, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
