Name: Red Beach Road, Instruction: Head south on Red Beach Road, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 215.1 meters, Time: 154.9 seconds
Name: -, Instruction: Turn slight left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn right, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Keep left, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Keep right, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 588.1 meters, Time: 423.5 seconds
Name: -, Instruction: Turn left, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 119.3 meters, Time: 85.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
