Name: Boulevard Arago, Instruction: Head east on Boulevard Arago, Distance: 11.5 meters, Time: 8.2 seconds
Name: Rue Broca, Instruction: Turn left onto Rue Broca, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 153.4 meters, Time: 110.4 seconds
Name: Rue Pascal, Instruction: Turn left onto Rue Pascal, Distance: 215.4 meters, Time: 155.1 seconds
Name: Rue de Valence, Instruction: Turn right onto Rue de Valence, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn left, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn slight left, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Keep left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Rue Censier, Instruction: Keep right onto Rue Censier, Distance: 22.4 meters, Time: 16.1 seconds
Name: Rue Censier, Instruction: Keep right onto Rue Censier, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
