Name: Rue Théodore Deck, Instruction: Head west on Rue Théodore Deck, Distance: 275.0 meters, Time: 198.0 seconds
Name: -, Instruction: Turn left, Distance: 268.6 meters, Time: 193.4 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Turn slight right, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn slight left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue Leblanc, Instruction: Turn right onto Rue Leblanc, Distance: 107.3 meters, Time: 77.2 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 273.1 meters, Time: 196.6 seconds
Name: -, Instruction: Turn slight left, Distance: 372.4 meters, Time: 268.2 seconds
Name: -, Instruction: Turn left, Distance: 235.6 meters, Time: 169.6 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
