Name: Bahnstraße, Instruction: Head north on Bahnstraße, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 215.7 meters, Time: 155.3 seconds
Name: -, Instruction: Turn right, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 55.4 meters, Time: 39.9 seconds
Name: Fleckhamerstraße, Instruction: Turn right onto Fleckhamerstraße, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 151.0 meters, Time: 108.7 seconds
Name: Lohfeldstraße, Instruction: Turn right onto Lohfeldstraße, Distance: 54.1 meters, Time: 38.9 seconds
Name: Ligsalzstraße, Instruction: Turn left onto Ligsalzstraße, Distance: 713.8 meters, Time: 513.9 seconds
Name: Forst-Kasten-Straße, Instruction: Turn right onto Forst-Kasten-Straße, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Arrive at Forst-Kasten-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
