Name: Manor Road East, Instruction: Head west on Manor Road East, Distance: 97.1 meters, Time: 69.9 seconds
Name: Belcourt Road, Instruction: Turn left onto Belcourt Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 89.1 meters, Time: 64.1 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Boyton Road, Instruction: Turn left onto Boyton Road, Distance: 6.5 meters, Time: 4.7 seconds
Name: Tilson Road, Instruction: Turn right onto Tilson Road, Distance: 309.8 meters, Time: 223.0 seconds
Name: Harwood Road, Instruction: Turn left onto Harwood Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 108.8 meters, Time: 78.3 seconds
Name: Belsize Drive, Instruction: Turn right onto Belsize Drive, Distance: 96.3 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 77.4 meters, Time: 55.7 seconds
Name: -, Instruction: Turn left, Distance: 87.3 meters, Time: 62.9 seconds
Name: Millwood Road, Instruction: Turn right onto Millwood Road, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Keep left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 41.0 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
