Name: BG, Instruction: Head southeast on BG, Distance: 40.6 meters, Time: 29.2 seconds
Name: 36, Instruction: Turn right onto 36, Distance: 18.9 meters, Time: 13.6 seconds
Name: 36, Instruction: Turn left onto 36, Distance: 12.0 meters, Time: 8.6 seconds
Name: The Carriageway, Instruction: Turn left onto The Carriageway, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Continue straight, Distance: 179.1 meters, Time: 129.0 seconds
Name: -, Instruction: Continue straight, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Continue straight, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Continue straight, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 155.2 meters, Time: 111.8 seconds
Name: Christie Street, Instruction: Turn left onto Christie Street, Distance: 23.3 meters, Time: 16.7 seconds
Name: Atchison Street, Instruction: Turn right onto Atchison Street, Distance: 506.7 meters, Time: 364.8 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
