Name: شارع هدى سلطان, Instruction: Head west on شارع هدى سلطان, Distance: 42.6 meters, Time: 30.7 seconds
Name: شارع عمر خورشيد, Instruction: Turn right onto شارع عمر خورشيد, Distance: 169.7 meters, Time: 122.2 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: شارع عمر خورشيد, Instruction: Turn sharp right onto شارع عمر خورشيد, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 183.8 meters, Time: 132.4 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 139.6 meters, Time: 100.5 seconds
Name: شارع أم كلثوم, Instruction: Turn slight right onto شارع أم كلثوم, Distance: 125.7 meters, Time: 90.5 seconds
Name: شارع رمسيس نجيب, Instruction: Keep left onto شارع رمسيس نجيب, Distance: 23.3 meters, Time: 16.8 seconds
Name: شارع أم كلثوم, Instruction: Turn right onto شارع أم كلثوم, Distance: 90.8 meters, Time: 65.4 seconds
Name: شارع عز الدين ذو الفقار, Instruction: Keep left onto شارع عز الدين ذو الفقار, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
