Name: Bedwin Road, Instruction: Head north on Bedwin Road, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 249.6 meters, Time: 179.7 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Keep right, Distance: 137.0 meters, Time: 98.6 seconds
Name: -, Instruction: Turn slight left, Distance: 167.0 meters, Time: 120.3 seconds
Name: -, Instruction: Turn slight left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 220.4 meters, Time: 158.7 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 343.3 meters, Time: 247.2 seconds
Name: -, Instruction: Continue straight, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Burrows Road, Instruction: Turn right onto Burrows Road, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at Burrows Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
