Name: Enfield Road, Instruction: Head north on Enfield Road, Distance: 253.2 meters, Time: 182.3 seconds
Name: Whitestile Road, Instruction: Turn right onto Whitestile Road, Distance: 6.9 meters, Time: 5.0 seconds
Name: Whitestile Road, Instruction: Turn left onto Whitestile Road, Distance: 335.5 meters, Time: 241.6 seconds
Name: Ealing Park Gardens, Instruction: Turn left onto Ealing Park Gardens, Distance: 78.9 meters, Time: 56.8 seconds
Name: Birkbeck Road, Instruction: Turn right onto Birkbeck Road, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn left, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: Little Ealing Lane, B4491, Instruction: Turn left onto Little Ealing Lane, B4491, Distance: 248.4 meters, Time: 178.8 seconds
Name: Redwood Grove, Instruction: Turn left onto Redwood Grove, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 150.9 meters, Time: 108.6 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn slight right, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: Bernard Avenue, Instruction: Turn right onto Bernard Avenue, Distance: 8.5 meters, Time: 6.1 seconds
Name: Northfield Avenue, B452, Instruction: Turn left onto Northfield Avenue, B452, Distance: 161.2 meters, Time: 116.1 seconds
Name: Mayfield Avenue, Instruction: Turn left onto Mayfield Avenue, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 60.9 meters, Time: 43.9 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn slight left, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
