Name: Rue des Prairies, Instruction: Head south on Rue des Prairies, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 77.2 meters, Time: 55.6 seconds
Name: Place Saint-Blaise, Instruction: Turn left onto Place Saint-Blaise, Distance: 6.1 meters, Time: 4.4 seconds
Name: Place Saint-Blaise, Instruction: Turn right onto Place Saint-Blaise, Distance: 5.9 meters, Time: 4.2 seconds
Name: Place Saint-Blaise, Instruction: Turn left onto Place Saint-Blaise, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rue Florian, Instruction: Turn left onto Rue Florian, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 60.2 meters, Time: 43.3 seconds
Name: -, Instruction: Turn slight left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Keep left, Distance: 160.9 meters, Time: 115.9 seconds
Name: Rue des Haies, Instruction: Turn right onto Rue des Haies, Distance: 628.9 meters, Time: 452.8 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 102.3 meters, Time: 73.7 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 162.4 meters, Time: 116.9 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
