Name: Kingdale Road, Instruction: Head southeast on Kingdale Road, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 102.0 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 139.1 meters, Time: 100.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 468.1 meters, Time: 337.1 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Keep right, Distance: 687.7 meters, Time: 495.1 seconds
Name: -, Instruction: Keep right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight right, Distance: 159.1 meters, Time: 114.6 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 426.5 meters, Time: 307.0 seconds
Name: -, Instruction: Keep right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
