Name: Jurong West Street 41, Instruction: Head west on Jurong West Street 41, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.8 seconds
Name: -, Instruction: Turn slight right, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Continue straight, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Continue straight, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Jurong West Avenue 1, Instruction: Turn left onto Jurong West Avenue 1, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 397.7 meters, Time: 286.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Jurong West Street 42, Instruction: Turn right onto Jurong West Street 42, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Arrive at Jurong West Street 42, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
