Name: Jellicoe Road, Instruction: Head northeast on Jellicoe Road, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.6 seconds
Name: Horne Road, Instruction: Turn right onto Horne Road, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 89.1 meters, Time: 64.1 seconds
Name: -, Instruction: Keep right, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Continue straight, Distance: 303.5 meters, Time: 218.5 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 122.7 meters, Time: 88.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn left, Distance: 348.6 meters, Time: 251.0 seconds
Name: -, Instruction: Turn left, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn left, Distance: 47.9 meters, Time: 34.5 seconds
Name: Kallang Riverside Park, Instruction: Turn right onto Kallang Riverside Park, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 262.2 meters, Time: 188.8 seconds
Name: -, Instruction: Keep left, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn left, Distance: 98.1 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn right, Distance: 227.5 meters, Time: 163.8 seconds
Name: -, Instruction: Turn right, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Keep right, Distance: 26.4 meters, Time: 19.0 seconds
Name: Stadium Boulevard, Instruction: Turn right onto Stadium Boulevard, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 111.9 meters, Time: 80.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
