Name: Nicholson Street, Instruction: Head west on Nicholson Street, Distance: 76.6 meters, Time: 55.1 seconds
Name: Blackfriars Road, A201, Instruction: Turn right onto Blackfriars Road, A201, Distance: 4.4 meters, Time: 3.2 seconds
Name: Meymott Street, Instruction: Turn left onto Meymott Street, Distance: 76.3 meters, Time: 54.9 seconds
Name: Meymott Street, Instruction: Keep left onto Meymott Street, Distance: 68.7 meters, Time: 49.5 seconds
Name: Hatfields, Instruction: Turn left onto Hatfields, Distance: 9.1 meters, Time: 6.6 seconds
Name: Roupell Street, Instruction: Turn right onto Roupell Street, Distance: 286.9 meters, Time: 206.6 seconds
Name: Cornwall Road, Instruction: Turn right onto Cornwall Road, Distance: 7.4 meters, Time: 5.4 seconds
Name: Exton Street, Instruction: Turn left onto Exton Street, Distance: 43.9 meters, Time: 31.6 seconds
Name: Secker Street, Instruction: Turn right onto Secker Street, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn right, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Keep right, Distance: 15.3 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 55.8 meters, Time: 40.1 seconds
Name: Waterloo Bridge, Instruction: Turn slight right onto Waterloo Bridge, Distance: 691.2 meters, Time: 497.6 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Keep right, Distance: 82.6 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.7 seconds
Name: James Street, Instruction: Turn right onto James Street, Distance: 56.3 meters, Time: 40.5 seconds
Name: James Street, Instruction: Continue straight onto James Street, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
