Name: Allée Centrale, Instruction: Head northwest on Allée Centrale, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Turn left, Distance: 58.7 meters, Time: 42.2 seconds
Name: Allée du Bord de l'Eau, Instruction: Turn right onto Allée du Bord de l'Eau, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Turn left onto Passerelle Léopold-Sédar-Senghor, Distance: 3.7 meters, Time: 2.7 seconds
Name: Passerelle Léopold-Sédar-Senghor, Instruction: Keep left onto Passerelle Léopold-Sédar-Senghor, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Arrive at Passerelle Léopold-Sédar-Senghor, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
