Name: شارع الإمامين, Instruction: Head south on شارع الإمامين, Distance: 77.2 meters, Time: 55.6 seconds
Name: شارع الإمام بلال, Instruction: Turn right onto شارع الإمام بلال, Distance: 182.8 meters, Time: 131.6 seconds
Name: شارع الزهور, Instruction: Turn left onto شارع الزهور, Distance: 503.9 meters, Time: 362.8 seconds
Name: شارع المهندس محمود عبد المنعم, Instruction: Turn left onto شارع المهندس محمود عبد المنعم, Distance: 168.3 meters, Time: 121.1 seconds
Name: شارع المهندس محمود عبد المنعم, Instruction: Enter the roundabout and take the 1st exit onto شارع المهندس محمود عبد المنعم, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn left, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 66.3 meters, Time: 47.8 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: شارع عمارات مصر التعمير, Instruction: Continue straight onto شارع عمارات مصر التعمير, Distance: 294.6 meters, Time: 212.1 seconds
Name: -, Instruction: Turn left, Distance: 87.6 meters, Time: 63.1 seconds
Name: شارع افريقيا, Instruction: Turn sharp left onto شارع افريقيا, Distance: 53.9 meters, Time: 38.8 seconds
Name: -, Instruction: Arrive at شارع افريقيا, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
