Name: Avenida Río San Joaquín, Instruction: Head northwest on Avenida Río San Joaquín, Distance: 186.2 meters, Time: 134.0 seconds
Name: Avenida Lomas de Sotelo, Instruction: Keep left onto Avenida Lomas de Sotelo, Distance: 383.1 meters, Time: 275.8 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 87.8 meters, Time: 63.2 seconds
Name: Andador peatonal, Instruction: Turn right onto Andador peatonal, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Continue straight, Distance: 160.2 meters, Time: 115.4 seconds
Name: Calle Presa Salinillas, Instruction: Turn right onto Calle Presa Salinillas, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn right, Distance: 61.2 meters, Time: 44.1 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Keep left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
