Name: Halkin Crescent, Instruction: Head east on Halkin Crescent, Distance: 314.8 meters, Time: 226.7 seconds
Name: Elvaston Drive, Instruction: Turn right onto Elvaston Drive, Distance: 383.8 meters, Time: 276.3 seconds
Name: Belper Court, Instruction: Turn sharp right onto Belper Court, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 127.3 meters, Time: 91.6 seconds
Name: Biscayne Boulevard, Instruction: Turn left onto Biscayne Boulevard, Distance: 429.2 meters, Time: 309.1 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Singleton Road, Instruction: Turn sharp left onto Singleton Road, Distance: 287.5 meters, Time: 207.0 seconds
Name: -, Instruction: Turn right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
