Name: Glebeholme Boulevard, Instruction: Head west on Glebeholme Boulevard, Distance: 688.8 meters, Time: 496.0 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Caithness Avenue, Instruction: Turn right onto Caithness Avenue, Distance: 83.1 meters, Time: 59.8 seconds
Name: Milverton Boulevard, Instruction: Turn left onto Milverton Boulevard, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Keep left, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Keep left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Marlow Avenue, Instruction: Turn right onto Marlow Avenue, Distance: 246.2 meters, Time: 177.2 seconds
Name: Sammon Avenue, Instruction: Turn left onto Sammon Avenue, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Keep left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Kings Park Boulevard, Instruction: Turn left onto Kings Park Boulevard, Distance: 525.8 meters, Time: 378.6 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Keep left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn slight left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 156.3 meters, Time: 112.5 seconds
Name: -, Instruction: Keep left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
