Name: Imam Haron Road, Instruction: Head east on Imam Haron Road, Distance: 178.6 meters, Time: 128.6 seconds
Name: Basset Road, Instruction: Turn right onto Basset Road, Distance: 144.5 meters, Time: 104.0 seconds
Name: Treehaven Road, Instruction: Turn left onto Treehaven Road, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 482.9 meters, Time: 347.7 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.7 meters, Time: 2.0 seconds
Name: Punters Way, Instruction: Enter the roundabout and take the 1st exit onto Punters Way, Distance: 482.2 meters, Time: 347.2 seconds
Name: Bridle Close, Instruction: Turn left onto Bridle Close, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Arrive at Bridle Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
