Name: Trevose Crescent, Instruction: Head southeast on Trevose Crescent, Distance: 418.1 meters, Time: 301.0 seconds
Name: -, Instruction: Turn left, Distance: 117.9 meters, Time: 84.9 seconds
Name: -, Instruction: Turn right, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Keep right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 138.9 meters, Time: 100.0 seconds
Name: -, Instruction: Keep right, Distance: 307.9 meters, Time: 221.7 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: Dunearn Road, Instruction: Turn left onto Dunearn Road, Distance: 173.5 meters, Time: 124.9 seconds
Name: Swiss Cottage Estate, Instruction: Turn left onto Swiss Cottage Estate, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 161.4 meters, Time: 116.2 seconds
Name: -, Instruction: Continue straight, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Continue straight, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn slight left, Distance: 183.8 meters, Time: 132.4 seconds
Name: Barker Road, Instruction: Turn right onto Barker Road, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at Barker Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
