Name: Korbinianstraße, Instruction: Head south on Korbinianstraße, Distance: 108.7 meters, Time: 78.2 seconds
Name: Korbinianplatz, Instruction: Turn left onto Korbinianplatz, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 83.4 meters, Time: 60.1 seconds
Name: -, Instruction: Turn right, Distance: 91.6 meters, Time: 66.0 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 641.8 meters, Time: 462.1 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn slight right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
