Name: Meeks Street Plaza, Instruction: Head west on Meeks Street Plaza, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 365.7 meters, Time: 263.3 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Keep left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep right, Distance: 170.7 meters, Time: 122.9 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Continue straight, Distance: 97.3 meters, Time: 70.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
