Name: Kennedy Avenue, Instruction: Head northeast on Kennedy Avenue, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight left, Distance: 877.4 meters, Time: 631.7 seconds
Name: -, Instruction: Keep left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Becroft Drive, Instruction: Turn right onto Becroft Drive, Distance: 134.7 meters, Time: 97.0 seconds
Name: Becroft Drive, Instruction: Keep left onto Becroft Drive, Distance: 6.9 meters, Time: 5.0 seconds
Name: Becroft Drive, Instruction: Continue straight onto Becroft Drive, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn slight right, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.3 seconds
Name: Bond Crescent, Instruction: Turn left onto Bond Crescent, Distance: 77.3 meters, Time: 55.6 seconds
Name: Arrow Road, Instruction: Turn right onto Arrow Road, Distance: 274.6 meters, Time: 197.7 seconds
Name: Bowman Road, Instruction: Turn left onto Bowman Road, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Arrive at Bowman Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
