Name: Avenida Carlos Zara, Instruction: Head east on Avenida Carlos Zara, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 213.4 meters, Time: 153.6 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Keep left, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Keep right, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
