Name: Raheinstraße, Instruction: Head south on Raheinstraße, Distance: 316.6 meters, Time: 227.9 seconds
Name: Herbergstraße, Instruction: Turn right onto Herbergstraße, Distance: 165.1 meters, Time: 118.9 seconds
Name: Paul-Preuß-Straße, Instruction: Turn right onto Paul-Preuß-Straße, Distance: 4.8 meters, Time: 3.4 seconds
Name: Herbergstraße, Instruction: Turn left onto Herbergstraße, Distance: 669.4 meters, Time: 482.0 seconds
Name: Pflaumstraße, Instruction: Keep right onto Pflaumstraße, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Keep left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 123.9 meters, Time: 89.2 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: Karlsfelder Straße, Instruction: Turn left onto Karlsfelder Straße, Distance: 256.5 meters, Time: 184.7 seconds
Name: -, Instruction: Keep left, Distance: 622.8 meters, Time: 448.4 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
