Name: Deisenhofener Straße, Instruction: Head southwest on Deisenhofener Straße, Distance: 9.0 meters, Time: 6.5 seconds
Name: Schlierseestraße, Instruction: Turn left onto Schlierseestraße, Distance: 465.6 meters, Time: 335.2 seconds
Name: -, Instruction: Turn slight right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Keep left, Distance: 488.0 meters, Time: 351.4 seconds
Name: Stadelheimer Straße, Instruction: Turn sharp right onto Stadelheimer Straße, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 344.9 meters, Time: 248.3 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Keep right, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 262.8 meters, Time: 189.2 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: Lincolnstraße, Instruction: Turn left onto Lincolnstraße, Distance: 12.4 meters, Time: 8.9 seconds
Name: General-Kalb-Weg, Instruction: Turn right onto General-Kalb-Weg, Distance: 451.8 meters, Time: 325.3 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 161.3 meters, Time: 116.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
