Name: Fürstenrieder Straße, Instruction: Head south on Fürstenrieder Straße, Distance: 7.6 meters, Time: 5.5 seconds
Name: Waldfriedhofstraße, Instruction: Turn left onto Waldfriedhofstraße, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Keep right, Distance: 410.8 meters, Time: 295.7 seconds
Name: -, Instruction: Turn right, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn right, Distance: 324.2 meters, Time: 233.4 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 355.8 meters, Time: 256.2 seconds
Name: Krüner Platz, Instruction: Turn left onto Krüner Platz, Distance: 55.6 meters, Time: 40.1 seconds
Name: Krüner Straße, Instruction: Turn right onto Krüner Straße, Distance: 276.0 meters, Time: 198.7 seconds
Name: Reulandstraße, Instruction: Turn left onto Reulandstraße, Distance: 180.1 meters, Time: 129.7 seconds
Name: Preßburger Straße, Instruction: Turn right onto Preßburger Straße, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep left, Distance: 33.5 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 82.3 meters, Time: 59.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
