Name: Mitta Way, Instruction: Head west on Mitta Way, Distance: 10.6 meters, Time: 7.6 seconds
Name: Ridgeline Drive, Instruction: Turn left onto Ridgeline Drive, Distance: 44.8 meters, Time: 32.2 seconds
Name: Eurobin Street, Instruction: Turn right onto Eurobin Street, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 301.9 meters, Time: 217.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: Ridgeline Drive, Instruction: Turn right onto Ridgeline Drive, Distance: 73.3 meters, Time: 52.8 seconds
Name: Eumina Street, Instruction: Turn left onto Eumina Street, Distance: 103.6 meters, Time: 74.6 seconds
Name: Birallee Street, Instruction: Turn right onto Birallee Street, Distance: 111.8 meters, Time: 80.5 seconds
Name: Alkoomie Street, Instruction: Turn left onto Alkoomie Street, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 155.2 meters, Time: 111.7 seconds
Name: -, Instruction: Turn slight left, Distance: 334.9 meters, Time: 241.2 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep right, Distance: 235.3 meters, Time: 169.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
