Name: Krawchuk Lane, Instruction: Head southeast on Krawchuk Lane, Distance: 163.3 meters, Time: 117.6 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 244.6 meters, Time: 176.1 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: Redway Road, Instruction: Turn slight right onto Redway Road, Distance: 412.0 meters, Time: 296.6 seconds
Name: Redway Road, Instruction: Turn slight left onto Redway Road, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Keep right, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 342.8 meters, Time: 246.8 seconds
Name: CPR, Instruction: Turn slight right onto CPR, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 117.2 meters, Time: 84.4 seconds
Name: Sun Valley Access Trail, Instruction: Turn slight right onto Sun Valley Access Trail, Distance: 67.4 meters, Time: 48.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 173.9 meters, Time: 125.2 seconds
Name: -, Instruction: Keep left, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Keep right, Distance: 103.3 meters, Time: 74.4 seconds
Name: Douglas Crescent, Instruction: Turn left onto Douglas Crescent, Distance: 94.8 meters, Time: 68.3 seconds
Name: Governors Road, Instruction: Turn right onto Governors Road, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
