Name: Sydenham Lane, Instruction: Head northwest on Sydenham Lane, Distance: 40.1 meters, Time: 28.9 seconds
Name: Sloane Lane, Instruction: Turn right onto Sloane Lane, Distance: 188.6 meters, Time: 135.8 seconds
Name: -, Instruction: Turn left, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Continue straight, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Continue straight, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 384.6 meters, Time: 276.9 seconds
Name: -, Instruction: Continue straight, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 169.1 meters, Time: 121.7 seconds
Name: -, Instruction: Keep right, Distance: 48.7 meters, Time: 35.1 seconds
Name: Victoria Road, Instruction: Turn left onto Victoria Road, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Arrive at Victoria Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
