Name: Shellbank Lane, Instruction: Head southwest on Shellbank Lane, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Continue straight, Distance: 282.9 meters, Time: 203.7 seconds
Name: -, Instruction: Turn right, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn slight left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Bomb Point Drive, Instruction: Turn left onto Bomb Point Drive, Distance: 6.9 meters, Time: 5.0 seconds
Name: Wallace Road, Instruction: Turn right onto Wallace Road, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 283.8 meters, Time: 204.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 346.4 meters, Time: 249.4 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: Nevill Road, Instruction: Turn left onto Nevill Road, Distance: 200.6 meters, Time: 144.4 seconds
Name: -, Instruction: Arrive at Nevill Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
