Name: Cottage Point Road, Instruction: Head north on Cottage Point Road, Distance: 71.9 meters, Time: 51.7 seconds
Name: Raymond Court, Instruction: Turn sharp right onto Raymond Court, Distance: 33.7 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn left, Distance: 422.3 meters, Time: 304.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.3 meters, Time: 27.5 seconds
Name: -, Instruction: Turn left, Distance: 453.4 meters, Time: 326.5 seconds
Name: -, Instruction: Turn slight right, Distance: 420.9 meters, Time: 303.0 seconds
Name: -, Instruction: Keep right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.8 seconds
Name: President Road, Instruction: Turn right onto President Road, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at President Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
