Name: Garden Road, Instruction: Head south on Garden Road, Distance: 180.3 meters, Time: 129.8 seconds
Name: Remuera Road, Instruction: Turn sharp right onto Remuera Road, Distance: 626.2 meters, Time: 450.9 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 190.9 meters, Time: 137.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 180.0 meters, Time: 129.6 seconds
Name: -, Instruction: Turn right, Distance: 312.5 meters, Time: 225.0 seconds
Name: MacMurray Road, Instruction: Continue straight onto MacMurray Road, Distance: 382.0 meters, Time: 275.0 seconds
Name: Saint Marks Road, Instruction: Turn left onto Saint Marks Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Turn left, Distance: 283.2 meters, Time: 203.9 seconds
Name: -, Instruction: Turn right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Keep left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
