Name: Anson Road, Instruction: Head northeast on Anson Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn left, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: Gopeng Street, Instruction: Turn left onto Gopeng Street, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: Tras Street, Instruction: Turn right onto Tras Street, Distance: 2.1 meters, Time: 1.5 seconds
Name: Tras Street, Instruction: Turn slight right onto Tras Street, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Keep right, Distance: 44.8 meters, Time: 32.2 seconds
Name: Yan Kit Road, Instruction: Turn sharp right onto Yan Kit Road, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 183.1 meters, Time: 131.8 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 172.3 meters, Time: 124.0 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Keep right, Distance: 345.8 meters, Time: 248.9 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Keep right, Distance: 131.5 meters, Time: 94.7 seconds
Name: Eng Hoon Street, Instruction: Continue straight onto Eng Hoon Street, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn right, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Continue straight, Distance: 46.6 meters, Time: 33.5 seconds
Name: Eng Watt Street, Instruction: Turn right onto Eng Watt Street, Distance: 11.9 meters, Time: 8.6 seconds
Name: Eng Watt Street, Instruction: Keep left onto Eng Watt Street, Distance: 22.1 meters, Time: 15.9 seconds
Name: Seng Poh Road, Instruction: Turn left onto Seng Poh Road, Distance: 58.5 meters, Time: 42.1 seconds
Name: Eu Chin Street, Instruction: Turn right onto Eu Chin Street, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.8 seconds
Name: Moh Guan Terrace, Instruction: Turn slight right onto Moh Guan Terrace, Distance: 43.8 meters, Time: 31.5 seconds
Name: Kim Pong Road, Instruction: Keep right onto Kim Pong Road, Distance: 33.3 meters, Time: 24.0 seconds
Name: Kim Pong Road, Instruction: Turn right onto Kim Pong Road, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at Kim Pong Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
