Name: Holland Grove View, Instruction: Head northeast on Holland Grove View, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 53.3 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 189.8 meters, Time: 136.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Ghim Moh Road, Instruction: Turn right onto Ghim Moh Road, Distance: 55.6 meters, Time: 40.0 seconds
Name: Ghim Moh Road, Instruction: Keep left onto Ghim Moh Road, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 133.8 meters, Time: 96.3 seconds
Name: -, Instruction: Turn right, Distance: 141.7 meters, Time: 102.0 seconds
Name: East Sussex Lane, Instruction: Turn sharp left onto East Sussex Lane, Distance: 137.7 meters, Time: 99.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Keep left, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: Holland Road, Instruction: Turn sharp right onto Holland Road, Distance: 48.3 meters, Time: 34.8 seconds
Name: Coronation Road West, Instruction: Turn right onto Coronation Road West, Distance: 159.9 meters, Time: 115.1 seconds
Name: Coronation Road West, Instruction: Enter the roundabout and take the 1st exit onto Coronation Road West, Distance: 468.0 meters, Time: 337.0 seconds
Name: Astrid Hill, Instruction: Turn left onto Astrid Hill, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Arrive at Astrid Hill, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
