Name: شارع الكامل, Instruction: Head southwest on شارع الكامل, Distance: 287.1 meters, Time: 206.7 seconds
Name: شارع سراي الزعفران, Instruction: Turn slight right onto شارع سراي الزعفران, Distance: 68.8 meters, Time: 49.5 seconds
Name: شارع سراي الزعفران, Instruction: Turn sharp left onto شارع سراي الزعفران, Distance: 230.2 meters, Time: 165.8 seconds
Name: شارع لطفي السيد, Instruction: Turn sharp right onto شارع لطفي السيد, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 105.9 meters, Time: 76.2 seconds
Name: -, Instruction: Keep left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
