Name: Graham Street, Instruction: Head south on Graham Street, Distance: 111.2 meters, Time: 80.0 seconds
Name: Victoria Street West Cycleway, Instruction: Turn left onto Victoria Street West Cycleway, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 174.5 meters, Time: 125.6 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 217.6 meters, Time: 156.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight left, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 124.3 meters, Time: 89.5 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Continue straight, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Keep left, Distance: 4.7 meters, Time: 3.4 seconds
Name: White Street, Instruction: Turn right onto White Street, Distance: 170.6 meters, Time: 122.8 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
