Name: Vaughan Road, Instruction: Head south on Vaughan Road, Distance: 0.0 meters, Time: 0.0 seconds
Name: -, Instruction: Turn left, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn slight left, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Raglan Avenue, Instruction: Turn left onto Raglan Avenue, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Turn slight left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Montclair Avenue, Instruction: Turn left onto Montclair Avenue, Distance: 142.0 meters, Time: 102.2 seconds
Name: Lonsmount Drive, Instruction: Turn right onto Lonsmount Drive, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Arrive at Lonsmount Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
