Name: Wick Lane, Instruction: Head south on Wick Lane, Distance: 319.7 meters, Time: 230.2 seconds
Name: Tredegar Road, Instruction: Continue straight onto Tredegar Road, Distance: 45.2 meters, Time: 32.6 seconds
Name: Morville Street, Instruction: Turn left onto Morville Street, Distance: 314.3 meters, Time: 226.3 seconds
Name: -, Instruction: Turn left, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Malmesbury Road, Instruction: Turn right onto Malmesbury Road, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: Whitton Walk, Instruction: Turn left onto Whitton Walk, Distance: 51.6 meters, Time: 37.2 seconds
Name: -, Instruction: Arrive at Whitton Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
