Name: Jerningham Road, Instruction: Head north on Jerningham Road, Distance: 320.2 meters, Time: 230.5 seconds
Name: -, Instruction: Turn right, Distance: 349.1 meters, Time: 251.3 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 223.8 meters, Time: 161.1 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 333.0 meters, Time: 239.8 seconds
Name: Watson's Street, Instruction: Turn left onto Watson's Street, Distance: 70.1 meters, Time: 50.5 seconds
Name: Comet Street, Instruction: Turn right onto Comet Street, Distance: 107.6 meters, Time: 77.4 seconds
Name: Comet Street, Instruction: Turn left onto Comet Street, Distance: 24.6 meters, Time: 17.7 seconds
Name: Comet Street, Instruction: Turn right onto Comet Street, Distance: 43.0 meters, Time: 31.0 seconds
Name: Deptford High Street, Instruction: Turn left onto Deptford High Street, Distance: 4.3 meters, Time: 3.1 seconds
Name: Reginald Road, Instruction: Turn right onto Reginald Road, Distance: 212.5 meters, Time: 153.0 seconds
Name: Creekside, Instruction: Keep right onto Creekside, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 242.7 meters, Time: 174.7 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: Creekside, Instruction: Turn left onto Creekside, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.3 seconds
Name: -, Instruction: Keep left, Distance: 251.3 meters, Time: 181.0 seconds
Name: Bruford Court, Instruction: Turn left onto Bruford Court, Distance: 46.0 meters, Time: 33.1 seconds
Name: Bruford Court, Instruction: Turn right onto Bruford Court, Distance: 17.7 meters, Time: 12.7 seconds
Name: Bruford Court, Instruction: Turn right onto Bruford Court, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at Bruford Court, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
