Name: Calle Conchita Urquiza, Instruction: Head east on Calle Conchita Urquiza, Distance: 6.9 meters, Time: 5.0 seconds
Name: Calle Rosario Castellanos, Instruction: Turn right onto Calle Rosario Castellanos, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.1 seconds
Name: Privada Estacionamiento, Instruction: Turn left onto Privada Estacionamiento, Distance: 161.4 meters, Time: 116.2 seconds
Name: Calle Candelaria Pérez, Instruction: Turn left onto Calle Candelaria Pérez, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Turn right, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Turn left, Distance: 317.4 meters, Time: 228.5 seconds
Name: Calle Canal de Chalco, Instruction: Turn right onto Calle Canal de Chalco, Distance: 711.3 meters, Time: 512.1 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: Calle Canal de Chalco, Instruction: Turn left onto Calle Canal de Chalco, Distance: 92.9 meters, Time: 66.9 seconds
Name: -, Instruction: Arrive at Calle Canal de Chalco, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
