Name: Hauzenberger Straße, Instruction: Head north on Hauzenberger Straße, Distance: 97.7 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Turn slight left, Distance: 312.9 meters, Time: 225.3 seconds
Name: -, Instruction: Turn slight right, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Schäufeleinstraße, Instruction: Turn left onto Schäufeleinstraße, Distance: 808.5 meters, Time: 582.1 seconds
Name: Veit-Stoß-Straße, Instruction: Continue straight onto Veit-Stoß-Straße, Distance: 19.0 meters, Time: 13.7 seconds
Name: Veit-Stoß-Straße, Instruction: Continue straight onto Veit-Stoß-Straße, Distance: 312.3 meters, Time: 224.9 seconds
Name: Fürstenrieder Straße, Instruction: Turn right onto Fürstenrieder Straße, Distance: 176.6 meters, Time: 127.2 seconds
Name: Landsberger Straße, Instruction: Continue straight onto Landsberger Straße, Distance: 199.2 meters, Time: 143.4 seconds
Name: Landsberger Straße, Instruction: Turn right onto Landsberger Straße, Distance: 7.8 meters, Time: 5.6 seconds
Name: Landsberger Straße, Instruction: Turn left onto Landsberger Straße, Distance: 249.4 meters, Time: 179.6 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: Landsberger Straße, Instruction: Turn left onto Landsberger Straße, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
