Name: Aggensteinstraße, Instruction: Head southwest on Aggensteinstraße, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 412.5 meters, Time: 297.0 seconds
Name: -, Instruction: Continue straight, Distance: 6.0 meters, Time: 4.3 seconds
Name: Wallbergstraße, Instruction: Turn left onto Wallbergstraße, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 82.1 meters, Time: 59.1 seconds
Name: Wettersteinring, Instruction: Turn left onto Wettersteinring, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 178.9 meters, Time: 128.8 seconds
Name: Johann-Sperl-Weg, Instruction: Continue straight onto Johann-Sperl-Weg, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn left, Distance: 117.0 meters, Time: 84.3 seconds
Name: Lovis-Corinth-Straße, Instruction: Turn right onto Lovis-Corinth-Straße, Distance: 11.2 meters, Time: 8.0 seconds
Name: Felix-Dahn-Straße, Instruction: Continue straight onto Felix-Dahn-Straße, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 64.1 meters, Time: 46.2 seconds
Name: Hanns-Stuber-Weg, Instruction: Turn right onto Hanns-Stuber-Weg, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at Hanns-Stuber-Weg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
