Name: Targo Road, Instruction: Head northeast on Targo Road, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 337.5 meters, Time: 243.0 seconds
Name: -, Instruction: Turn left, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: Beresford Road, Instruction: Turn right onto Beresford Road, Distance: 179.1 meters, Time: 129.0 seconds
Name: Beresford Road, Instruction: Enter the roundabout and take the 2nd exit onto Beresford Road, Distance: 225.2 meters, Time: 162.1 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 254.9 meters, Time: 183.6 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 217.6 meters, Time: 156.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
