Name: Amberlea Court, Instruction: Head northwest on Amberlea Court, Distance: 195.1 meters, Time: 140.4 seconds
Name: Grovewood Place, Instruction: Turn right onto Grovewood Place, Distance: 66.7 meters, Time: 48.0 seconds
Name: Oakhill Drive, Instruction: Enter the roundabout and take the 1st exit onto Oakhill Drive, Distance: 1064.1 meters, Time: 766.1 seconds
Name: Westminster Drive, Instruction: Enter the roundabout and take the 1st exit onto Westminster Drive, Distance: 160.4 meters, Time: 115.5 seconds
Name: De La Salle Place, Instruction: Turn left onto De La Salle Place, Distance: 211.3 meters, Time: 152.1 seconds
Name: -, Instruction: Turn left, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 397.4 meters, Time: 286.2 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 383.2 meters, Time: 275.9 seconds
Name: -, Instruction: Turn left, Distance: 526.4 meters, Time: 379.0 seconds
Name: New Line Road, Instruction: Turn sharp left onto New Line Road, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
