Name: Melrose Avenue, Instruction: Head southeast on Melrose Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Garden Avenue, Instruction: Turn right onto Garden Avenue, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 68.0 meters, Time: 48.9 seconds
Name: Elmhurst Avenue, Instruction: Turn left onto Elmhurst Avenue, Distance: 132.8 meters, Time: 95.6 seconds
Name: Beecholme Avenue, Instruction: Turn right onto Beecholme Avenue, Distance: 186.6 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 42.8 meters, Time: 30.8 seconds
Name: Edgehill Road, Instruction: Turn right onto Edgehill Road, Distance: 431.5 meters, Time: 310.7 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Rialto Road, Instruction: Turn right onto Rialto Road, Distance: 8.2 meters, Time: 5.9 seconds
Name: Eastfields Road, Instruction: Turn left onto Eastfields Road, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Keep left, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Acacia Road, Instruction: Turn left onto Acacia Road, Distance: 116.1 meters, Time: 83.6 seconds
Name: Clay Avenue, Instruction: Turn right onto Clay Avenue, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
