Name: Jubilee Avenue, Instruction: Head southwest on Jubilee Avenue, Distance: 206.6 meters, Time: 148.8 seconds
Name: Narrabeen Creek Path, Instruction: Turn left onto Narrabeen Creek Path, Distance: 293.7 meters, Time: 211.5 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 693.0 meters, Time: 498.9 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: Thornbill Way, Instruction: Turn right onto Thornbill Way, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Arrive at Thornbill Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
