Name: Milbertshofener Straße, Instruction: Head east on Milbertshofener Straße, Distance: 168.3 meters, Time: 121.2 seconds
Name: Korbinianstraße, Instruction: Turn right onto Korbinianstraße, Distance: 304.4 meters, Time: 219.1 seconds
Name: Korbinianstraße, Instruction: Continue straight onto Korbinianstraße, Distance: 119.5 meters, Time: 86.0 seconds
Name: Korbinianstraße, Instruction: Turn slight right onto Korbinianstraße, Distance: 108.7 meters, Time: 78.3 seconds
Name: Schopenhauerstraße, Instruction: Turn right onto Schopenhauerstraße, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 135.5 meters, Time: 97.5 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
