Name: Montrose Avenue, Instruction: Head south on Montrose Avenue, Distance: 357.2 meters, Time: 257.2 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: Beatrice Street, Instruction: Turn right onto Beatrice Street, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn slight left, Distance: 64.1 meters, Time: 46.2 seconds
Name: Bellwoods Avenue, Instruction: Turn right onto Bellwoods Avenue, Distance: 161.8 meters, Time: 116.5 seconds
Name: Bellwoods Place, Instruction: Turn left onto Bellwoods Place, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.9 seconds
Name: St. Mathias Place, Instruction: Turn right onto St. Mathias Place, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Arrive at St. Mathias Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
