Name: Dittmannstraße, Instruction: Head southeast on Dittmannstraße, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 758.8 meters, Time: 546.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Leonhard-Strell-Straße, Instruction: Turn left onto Leonhard-Strell-Straße, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Keep right, Distance: 981.4 meters, Time: 706.6 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Johann-Karg-Straße, Instruction: Turn right onto Johann-Karg-Straße, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: Böcklhofweg, Instruction: Turn left onto Böcklhofweg, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at Böcklhofweg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
