Name: Kallang Sector, Instruction: Head northwest on Kallang Sector, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 132.3 meters, Time: 95.3 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 84.0 meters, Time: 60.5 seconds
Name: Lorong Bakar Batu, Instruction: Turn right onto Lorong Bakar Batu, Distance: 7.3 meters, Time: 5.3 seconds
Name: Tannery Road, Instruction: Turn left onto Tannery Road, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 351.2 meters, Time: 252.9 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 161.5 meters, Time: 116.3 seconds
Name: MacPherson Road, Instruction: Turn slight right onto MacPherson Road, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
