Name: Goldmarkstraße, Instruction: Head west on Goldmarkstraße, Distance: 138.5 meters, Time: 99.7 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: Reicherstorfferweg, Instruction: Turn left onto Reicherstorfferweg, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Röblingweg, Instruction: Turn left onto Röblingweg, Distance: 174.4 meters, Time: 125.6 seconds
Name: -, Instruction: Continue straight, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: Hugo-Wolf-Straße, Instruction: Turn right onto Hugo-Wolf-Straße, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn right, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: Dolleschelstraße, Instruction: Turn left onto Dolleschelstraße, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
