Name: Logan Avenue, Instruction: Head south on Logan Avenue, Distance: 902.7 meters, Time: 649.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 211.7 meters, Time: 152.4 seconds
Name: Hampton Avenue, Instruction: Turn left onto Hampton Avenue, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.9 seconds
Name: Bowden Street, Instruction: Turn left onto Bowden Street, Distance: 4.3 meters, Time: 3.1 seconds
Name: Hogarth Avenue, Instruction: Turn right onto Hogarth Avenue, Distance: 52.0 meters, Time: 37.5 seconds
Name: Ingham Avenue, Instruction: Turn left onto Ingham Avenue, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Arrive at Ingham Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
