Name: St. Clair Avenue West, Instruction: Head east on St. Clair Avenue West, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Northcliffe Boulevard, Instruction: Turn right onto Northcliffe Boulevard, Distance: 617.8 meters, Time: 444.8 seconds
Name: Rosecliffe Avenue, Instruction: Turn left onto Rosecliffe Avenue, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Keep right, Distance: 94.4 meters, Time: 68.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Westmount Avenue, Instruction: Turn right onto Westmount Avenue, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn slight left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Eversfield Road, Instruction: Turn left onto Eversfield Road, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 133.6 meters, Time: 96.2 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
