Name: Marlboro Road, Instruction: Head west on Marlboro Road, Distance: 236.1 meters, Time: 170.0 seconds
Name: Stamford Road, Instruction: Turn right onto Stamford Road, Distance: 149.6 meters, Time: 107.7 seconds
Name: Lovers Walk, Instruction: Turn right onto Lovers Walk, Distance: 117.0 meters, Time: 84.3 seconds
Name: Herschel Walk, Instruction: Turn left onto Herschel Walk, Distance: 521.0 meters, Time: 375.1 seconds
Name: Herschel Walk, Instruction: Keep right onto Herschel Walk, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn slight left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 38.6 meters, Time: 27.8 seconds
Name: Trovato Link Road, Instruction: Turn slight right onto Trovato Link Road, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Keep right, Distance: 463.2 meters, Time: 333.5 seconds
Name: -, Instruction: Keep right, Distance: 43.6 meters, Time: 31.4 seconds
Name: 58th Avenue, Instruction: Turn sharp left onto 58th Avenue, Distance: 223.4 meters, Time: 160.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Keep right, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Keep right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Keep right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
