Name: Rue Massillon, Instruction: Head southwest on Rue Massillon, Distance: 0.1 meters, Time: 0.0 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep right, Distance: 2.5 meters, Time: 1.8 seconds
Name: Rue du Cloître Notre-Dame, Instruction: Turn left onto Rue du Cloître Notre-Dame, Distance: 74.8 meters, Time: 53.9 seconds
Name: Quai de l'Archevêché, Instruction: Turn right onto Quai de l'Archevêché, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: Port de la Tournelle, Instruction: Turn right onto Port de la Tournelle, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Continue straight, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 179.8 meters, Time: 129.5 seconds
Name: -, Instruction: Keep right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn slight right, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: Quai Saint-Bernard, Instruction: Turn sharp left onto Quai Saint-Bernard, Distance: 734.3 meters, Time: 528.7 seconds
Name: Place Valhubert, Instruction: Turn slight right onto Place Valhubert, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn slight right, Distance: 25.8 meters, Time: 18.6 seconds
Name: Quai d'Austerlitz, Instruction: Turn left onto Quai d'Austerlitz, Distance: 113.8 meters, Time: 81.9 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 166.5 meters, Time: 119.9 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: Cour Seine, Instruction: Turn left onto Cour Seine, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
