Name: Brickworks High Rim Trail, Instruction: Head south on Brickworks High Rim Trail, Distance: 166.7 meters, Time: 120.0 seconds
Name: Don Valley Brick Works Park Ponds Loop, Instruction: Turn slight right onto Don Valley Brick Works Park Ponds Loop, Distance: 71.4 meters, Time: 51.4 seconds
Name: Don Valley Brick Works Park Ponds Loop, Instruction: Keep left onto Don Valley Brick Works Park Ponds Loop, Distance: 10.4 meters, Time: 7.5 seconds
Name: Don Valley Brick Works Park Ponds Loop, Instruction: Turn slight left onto Don Valley Brick Works Park Ponds Loop, Distance: 212.2 meters, Time: 152.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 32.3 meters, Time: 23.3 seconds
Name: Bayview Multi-Use Trail, Instruction: Turn left onto Bayview Multi-Use Trail, Distance: 36.9 meters, Time: 26.6 seconds
Name: Bayview Multi-Use Trail, Instruction: Continue straight onto Bayview Multi-Use Trail, Distance: 157.8 meters, Time: 113.6 seconds
Name: To The Brickworks!, Instruction: Keep right onto To The Brickworks!, Distance: 606.9 meters, Time: 437.0 seconds
Name: Bayview Multi-Use Trail, Instruction: Turn right onto Bayview Multi-Use Trail, Distance: 67.9 meters, Time: 48.9 seconds
Name: Lower Don River Trail, Instruction: Turn slight left onto Lower Don River Trail, Distance: 223.3 meters, Time: 160.8 seconds
Name: -, Instruction: Turn right, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
